"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизаци","1","0","Авторизации недействительные учетные данные","0"
"0","","0","Login","2","0","Авторизации существующие учетные данные","0"
