"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","Авторизаиця с недействительными учетными данными","tests","Fri Nov 01 20:35:20 GMT 2024","passed","Fri Nov 01 20:35:20 GMT 2024","","test_login","",""
"","288","Авторизаиця с валидными учетными данными","tests","Fri Nov 01 20:35:20 GMT 2024","passed","Fri Nov 01 20:35:21 GMT 2024","","test_login","",""
"","292","Авторизаиця с валидными учетными данными","tests","Fri Nov 01 20:35:20 GMT 2024","passed","Fri Nov 01 20:35:20 GMT 2024","","test_login","",""
